Title,Date,Issues,Signatures
"Immediately release Donald Trump's full tax returns, with all information needed to verify emoluments clause compliance.","January 20, 2017","Foreign Policy, Government & Regulatory Reform","1,100,149"
Divest or put in a blind trust all of the President's business and financial assets,"January 20, 2017",Government & Regulatory Reform,"352,935"
Repeal the NFA,"January 20, 2017","Foreign Policy, Government & Regulatory Reform, Gun Violence","268,689"
Preserve the National Endowment for the Arts and the National Endowment for the Humanities,"January 21, 2017","Budget & Taxes, Education, Innovation: Arts & Technology","221,848"
#ChineseLivesMatters Calling a federal investigation into the United Airlines incident on 10th April 2017,"April 11, 2017",Civil Rights & Equality,"211,011"
Donald Trump:  Resign as President of the United States in Violation of the Emoluments Clause.  Release Your Tax Returns,"January 20, 2017","Civil Rights & Equality, Foreign Policy, Government & Regulatory Reform","136,104"
Do not defund the NEA or NEH,"January 21, 2017","Budget & Taxes, Education, Innovation: Arts & Technology","111,938"
Let American Farmers Grow Hemp Once Again to Create Jobs and Rebuild the Rural Economy,"January 20, 2017","Economy & Jobs, Government & Regulatory Reform, Rural Policy","109,118"
“EAST SEA” - Change US Policy to Recognize Both EAST SEA & Sea of Japan. Both IHO & UNCSGN Recommend Concurrent Usage.,"March 21, 2017","Education, Foreign Policy, Veterans & Military","108,898"
TEMPORARY PROTECTED STATUS (TPS) FOR VENEZUELA,"July 28, 2017","Foreign Policy, Homeland Security & Defense, Immigration","107,375"
National Reciprocity for the Nation's 17 Million Concealed Handgun Permit Holders!,"July 18, 2017","Civil Rights & Equality, Government & Regulatory Reform","22,272"
The US should lead a Military Intervention to DEPOSE THE NARCO REGIME and RECUE VENEZUELA from famine and genocide.,"July 31, 2017",Foreign Policy,"19,192"
Publish Climate Science Report without Political Interference and Censorship,"August 08, 2017",Energy & Environment,"16,713"
Full Pardon for Pardon Amiri King,"July 27, 2017","Civil Rights & Equality, Criminal Justice Reform, Veterans & Military","16,320"
Force Congress to Use Obamacare,"July 19, 2017",Health Care,"12,468"
Trump's Five Year Moratorium on Childhood Vaccines and Destruction of Pharma Control of Media,"August 02, 2017","Education, Health Care","4,380"
Save the Santa Ana Wildlife Refuge,"July 17, 2017",Energy & Environment,"4,021"
Ban or Hide All Race Revealing Info in College Admission Process,"August 04, 2017","Civil Rights & Equality, Education","3,398"
Consumer Protection Safety Commission government Overreach of powers to restrict sale/use of Consumer 1.4g fireworks,"July 15, 2017","Economy & Jobs, Government & Regulatory Reform, Technology & Innovation","2,788"
Support the Polish Government in Reforming Dysfunctional Judiciary System,"July 22, 2017","Civil Rights & Equality, Criminal Justice Reform, Foreign Policy","2,301"
Support new Nuclear Power Generation in this country,"August 02, 2017","Economy & Jobs, Technology & Innovation, Transportation & Infrastructure","2,280"
Remove Civil Forfeiture,"July 19, 2017","Civil Rights & Equality, Criminal Justice Reform, Government & Regulatory Reform","1,757"
Force Congress to have Same Healthcare as everyone else!,"July 17, 2017",Health Care,"1,748"
PETITION  TO APPOINT A SPECIAL PROSECUTOR TO INVESTIGATE HILLARY CLINTON FOR VIOLATIONS OF THE ESPIONAGE ACT,"July 15, 2017","Criminal Justice Reform, Government & Regulatory Reform, Homeland Security & Defense","1,297"
People of this country want to serve so why take that away? Trans rights to fight.,"July 26, 2017",Civil Rights & Equality,"1,172"
"Stop Deportation of a Hardworking and grieving Mother, Patricia Pena.","August 06, 2017",Immigration,"1,007"
Bring Vincente Saldana home!,"July 28, 2017",Immigration,992
We The People Ask President Trump To Pardon and Immediately Release All Americans That Were in Bunkerville and Malheur.,"August 09, 2017","Civil Rights & Equality, Criminal Justice Reform, Government & Regulatory Reform",672
free Quinton Bezon of the falsely accused charges against him,"July 24, 2017","Civil Rights & Equality, Foreign Policy, Veterans & Military",598
"Im asking to have Obama, Soros and Hillary to be punished or deported for all the Treasonous Acts and Federal Crimes","July 22, 2017","Civil Rights & Equality, Homeland Security & Defense, Immigration",534
